3600.10,0.87,-0.15
3900.10,0.84,-0.05
4200.10,0.61,-0.12
4500.10,0.53,-0.12
4800.10,0.56,-0.12
5100.10,0.26,-0.12
5400.10,0.55,-0.11
5700.10,0.46,0.25
6000.10,0.64,-0.03
6300.10,0.39,0.24
6600.10,0.62,0.24
6900.10,0.47,0.24
7200.10,0.71,0.06
7500.10,0.81,-0.03
7800.10,0.21,0.14
8100.10,0.00,0.29
8400.10,0.04,0.30
8700.10,0.73,0.15
9000.10,0.36,0.22
9300.10,0.70,0.08
9600.10,0.63,0.12
9900.10,0.61,0.25
10200.10,0.65,0.11
10500.10,0.60,0.11
10800.10,0.51,0.17
11100.10,1.00,0.01
11400.10,1.00,0.17
11700.10,0.42,0.40
12000.10,0.42,-0.00
12300.10,0.80,0.14
12600.10,0.67,0.19
12900.10,0.30,0.19
13200.10,0.42,-0.14
13500.10,0.77,0.04
13800.10,0.89,-0.15
14100.10,0.38,0.26
14400.10,0.58,0.10
14700.10,0.48,0.38
15000.10,0.36,0.33
15300.10,0.72,0.02
15600.10,0.41,0.09
15900.10,0.77,-0.02
16200.10,0.66,0.39
16500.10,0.48,0.34
16800.10,0.87,0.34
17100.10,0.59,0.34
17400.10,0.58,0.36
17700.10,0.79,0.36
18000.10,0.77,0.26
18300.10,0.74,0.30
18600.10,0.47,0.26
18900.10,0.26,0.18
19200.10,0.54,0.36
19500.10,0.41,0.42
19800.10,0.66,0.42
20100.10,0.81,0.16
20400.10,0.56,0.43
20700.10,0.38,-0.14
21000.10,0.52,-0.14
21300.10,0.93,-0.08
21600.10,0.68,0.30
21900.10,0.64,0.30
22200.10,0.51,0.32
22500.10,0.85,0.22
22800.10,0.90,0.04
23100.10,0.34,0.08
23400.10,0.51,0.08
23700.10,0.63,-0.35
24000.10,0.66,0.11
24300.10,0.89,0.05
24600.10,0.23,0.13
24900.10,0.64,0.23
25200.10,0.73,0.23
25500.10,0.28,0.36
25800.10,0.86,0.27
26100.10,1.00,0.27
26400.10,0.41,0.37
26700.10,0.76,0.21
27000.10,1.00,0.21
27300.10,0.42,0.05
27600.10,0.84,0.45
27900.10,0.22,0.29
28200.10,0.64,0.22
28500.10,0.23,0.49
28800.10,0.86,0.18
29100.10,0.71,0.53
29400.10,1.00,0.12
29700.10,0.78,0.32
30000.10,0.75,0.27
30300.10,0.93,0.27
30600.10,0.05,0.35
30900.10,0.73,0.20
31200.10,0.62,0.39
31500.10,0.68,0.14
31800.10,0.67,0.17
32100.10,0.35,0.17
32400.10,0.40,0.17
32700.10,1.00,0.08
33000.10,0.67,0.48
33300.10,0.47,0.33
33600.10,0.53,0.44
33900.10,0.63,0.51
34200.10,0.52,0.29
34500.10,0.69,0.29
34800.10,0.44,0.26
35100.10,0.79,0.47
35400.10,0.50,0.26
35700.10,0.98,0.20
36000.10,0.56,0.28
36300.10,0.88,0.18
36600.10,0.60,0.39
36900.10,0.59,0.41
37200.10,0.71,0.41
37500.10,0.65,0.45
37800.10,0.99,0.27
38100.10,0.28,0.28
38400.10,0.41,0.10
38700.10,0.52,0.28
39000.10,0.35,0.28
39300.10,0.68,0.25
39600.10,0.84,-0.13
39900.10,0.83,0.17
